timestamp,symbol,action,price,shares,pnl,reason
2024-05-06T00:00:00,AAPL,BUY,180.43,3,0.0,Golden Cross (10/50 MA)
2024-05-08T00:00:00,NVDA,BUY,90.37,7,0.0,Golden Cross (10/50 MA)
2024-05-23T00:00:00,NVDA,SELL,96.69590000000001,7,43.94286435000003,Take Profit
2024-06-03T00:00:00,AAPL,SELL,193.0601,3,37.600709849999994,Take Profit
2024-08-19T00:00:00,AAPL,BUY,224.86,3,0.0,Golden Cross (10/50 MA)
2024-08-21T00:00:00,SPY,BUY,552.22,1,0.0,Golden Cross (10/50 MA)
2024-08-23T00:00:00,NVDA,BUY,129.32,5,0.0,Golden Cross (10/50 MA)
2024-08-26T00:00:00,NVDA,SELL,125.4404,5,-19.71160099999998,Stop Loss
2024-08-26T00:00:00,QQQ,BUY,472.16,1,0.0,Golden Cross (10/50 MA)
2024-09-03T00:00:00,QQQ,SELL,457.9952,1,-14.393797600000013,Stop Loss
2024-09-04T00:00:00,AAPL,SELL,218.1142,3,-20.564571300000008,Stop Loss
2024-09-06T00:00:00,SPY,SELL,535.6534,1,-16.834426699999995,Stop Loss
2024-09-20T00:00:00,QQQ,BUY,479.21,1,0.0,Golden Cross (10/50 MA)
2024-09-23T00:00:00,AAPL,BUY,225.44,3,0.0,Golden Cross (10/50 MA)
2024-09-24T00:00:00,NVDA,BUY,120.84,5,0.0,Golden Cross (10/50 MA)
2024-10-01T00:00:00,NVDA,SELL,117.2148,5,-18.41903700000003,Stop Loss
2024-11-05T00:00:00,QQQ,SELL,489.6,1,10.145200000000044,Backtest End
2024-11-05T00:00:00,AAPL,SELL,222.43,3,-9.363644999999973,Backtest End
