timestamp,symbol,action,price,shares,pnl,reason
2023-03-08T00:00:00,TSLA,BUY,182.0,3,0.0,Oversold (BB Lower)
2023-03-09T00:00:00,TSLA,SELL,176.54,3,-16.644810000000025,Stop Loss
2023-03-09T00:00:00,TSLA,BUY,172.92,4,0.0,Oversold (BB Lower)
2023-03-10T00:00:00,SPY,BUY,372.02,1,0.0,Oversold (BB Lower)
2023-03-13T00:00:00,TSLA,SELL,167.73239999999998,4,-21.085864800000014,Stop Loss
2023-03-31T00:00:00,SPY,SELL,396.18,1,23.961910000000024,Overbought (BB Upper)
2023-04-20T00:00:00,TSLA,BUY,162.99,5,0.0,Oversold (BB Lower)
2023-04-25T00:00:00,MSFT,BUY,270.19,2,0.0,Oversold (BB Lower)
2023-04-26T00:00:00,TSLA,SELL,158.1003,5,-24.843750750000023,Stop Loss
2023-04-26T00:00:00,MSFT,SELL,289.1033,2,37.537496699999984,Take Profit
2023-04-26T00:00:00,TSLA,BUY,153.75,3,0.0,Oversold (BB Lower)
2023-04-28T00:00:00,TSLA,SELL,164.51250000000002,3,32.04073125000005,Take Profit
2023-08-04T00:00:00,AAPL,BUY,180.0,3,0.0,Oversold (BB Lower)
2023-08-09T00:00:00,QQQ,BUY,362.95,1,0.0,Oversold (BB Lower)
2023-08-09T00:00:00,NVDA,BUY,42.53,15,0.0,Oversold (BB Lower)
2023-08-11T00:00:00,NVDA,SELL,41.2541,15,-19.44790575,Stop Loss
2023-08-11T00:00:00,NVDA,BUY,40.83,17,0.0,Oversold (BB Lower)
2023-08-14T00:00:00,NVDA,SELL,43.6881,17,48.21635115000001,Take Profit
2023-08-16T00:00:00,SPY,BUY,427.04,1,0.0,Oversold (BB Lower)
2023-08-16T00:00:00,TSLA,BUY,225.6,3,0.0,Oversold (BB Lower)
2023-08-17T00:00:00,AAPL,SELL,174.6,3,-16.461900000000018,Stop Loss
2023-08-17T00:00:00,TSLA,SELL,218.832,3,-20.632248,Stop Loss
2023-08-17T00:00:00,TSLA,BUY,219.22,3,0.0,Oversold (BB Lower)
2023-08-18T00:00:00,QQQ,SELL,352.06149999999997,1,-11.064530750000023,Stop Loss
2023-08-18T00:00:00,TSLA,SELL,212.64339999999999,3,-20.04876510000004,Stop Loss
2023-08-18T00:00:00,TSLA,BUY,215.49,2,0.0,Oversold (BB Lower)
2023-08-21T00:00:00,TSLA,SELL,230.57430000000002,2,29.938025700000026,Take Profit
2023-09-20T00:00:00,NVDA,BUY,42.21,12,0.0,Oversold (BB Lower)
2023-09-27T00:00:00,SPY,SELL,414.22880000000004,1,-13.018314399999985,Stop Loss
2023-10-06T00:00:00,NVDA,SELL,45.1647,12,35.18541180000003,Take Profit
2023-10-19T00:00:00,TSLA,BUY,220.11,4,0.0,Oversold (BB Lower)
2023-10-20T00:00:00,TSLA,SELL,213.5067,4,-26.840213400000074,Stop Loss
2023-10-20T00:00:00,TSLA,BUY,211.99,4,0.0,Oversold (BB Lower)
2023-10-23T00:00:00,TSLA,SELL,205.6303,4,-25.850060600000013,Stop Loss
2023-10-23T00:00:00,TSLA,BUY,212.08,3,0.0,Oversold (BB Lower)
2023-10-25T00:00:00,QQQ,BUY,346.11,1,0.0,Oversold (BB Lower)
2023-10-26T00:00:00,TSLA,SELL,205.7176,3,-19.395776400000024,Stop Loss
2023-10-26T00:00:00,SPY,BUY,402.16,1,0.0,Oversold (BB Lower)
2023-10-26T00:00:00,AAPL,BUY,165.29,3,0.0,Oversold (BB Lower)
2023-10-26T00:00:00,NVDA,BUY,40.3,12,0.0,Oversold (BB Lower)
2023-11-02T00:00:00,NVDA,SELL,43.121,12,33.59327400000006,Take Profit
2023-11-06T00:00:00,AAPL,SELL,176.8603,3,34.44560955000001,Take Profit
2023-11-10T00:00:00,QQQ,SELL,370.33770000000004,1,24.042531150000027,Take Profit
2023-11-14T00:00:00,SPY,SELL,430.31120000000004,1,27.936044400000018,Take Profit
2023-12-14T00:00:00,MSFT,BUY,361.26,1,0.0,Oversold (BB Lower)
2024-01-02T00:00:00,AAPL,BUY,184.09,3,0.0,Oversold (BB Lower)
2024-01-10T00:00:00,MSFT,SELL,377.88,1,16.431060000000006,Overbought (BB Upper)
2024-01-11T00:00:00,TSLA,BUY,227.22,2,0.0,Oversold (BB Lower)
2024-01-12T00:00:00,TSLA,SELL,220.4034,2,-13.853603399999988,Stop Loss
2024-01-12T00:00:00,TSLA,BUY,218.89,3,0.0,Oversold (BB Lower)
2024-01-16T00:00:00,TSLA,SELL,212.3233,3,-20.01858494999999,Stop Loss
2024-01-25T00:00:00,TSLA,BUY,182.63,4,0.0,Oversold (BB Lower)
2024-01-30T00:00:00,TSLA,SELL,195.41410000000002,4,50.74557180000009,Take Profit
2024-02-02T00:00:00,AAPL,SELL,178.5673,3,-16.835950950000043,Stop Loss
2024-03-04T00:00:00,AAPL,BUY,173.86,3,0.0,Oversold (BB Lower)
2024-03-05T00:00:00,AAPL,SELL,168.6442,3,-15.900366300000005,Stop Loss
2024-03-05T00:00:00,AAPL,BUY,168.92,4,0.0,Oversold (BB Lower)
2024-03-06T00:00:00,TSLA,BUY,176.54,3,0.0,Oversold (BB Lower)
2024-03-13T00:00:00,TSLA,SELL,171.2438,3,-16.145465699999995,Stop Loss
2024-03-14T00:00:00,TSLA,BUY,162.5,3,0.0,Oversold (BB Lower)
2024-03-18T00:00:00,TSLA,SELL,173.875,3,33.8641875,Take Profit
2024-04-15T00:00:00,SPY,BUY,495.29,1,0.0,Oversold (BB Lower)
2024-04-15T00:00:00,QQQ,BUY,427.49,1,0.0,Oversold (BB Lower)
2024-04-15T00:00:00,TSLA,BUY,161.48,3,0.0,Oversold (BB Lower)
2024-04-16T00:00:00,TSLA,SELL,156.63559999999998,3,-14.768153400000022,Stop Loss
2024-04-16T00:00:00,TSLA,BUY,157.11,4,0.0,Oversold (BB Lower)
2024-04-18T00:00:00,TSLA,SELL,152.3967,4,-19.157993400000016,Stop Loss
2024-04-18T00:00:00,TSLA,BUY,149.93,5,0.0,Oversold (BB Lower)
2024-04-19T00:00:00,AAPL,SELL,163.8524,4,-20.598104799999994,Stop Loss
2024-04-19T00:00:00,QQQ,SELL,414.6653,1,-13.032032650000007,Stop Loss
2024-04-19T00:00:00,QQQ,BUY,411.21,1,0.0,Oversold (BB Lower)
2024-04-19T00:00:00,NVDA,BUY,76.17,11,0.0,Oversold (BB Lower)
2024-04-22T00:00:00,TSLA,SELL,145.4321,5,-22.853080250000076,Stop Loss
2024-04-22T00:00:00,TSLA,BUY,142.05,5,0.0,Oversold (BB Lower)
