position_size,stop_loss,take_profit,max_positions,trailing_stop,total_return,max_drawdown,win_rate,total_trades,sharpe,final_equity,score
0.02,0.015,0.12,10,False,0.8283972167968751,-3.3849064676633978,41.66666666666667,12,0.2313412969099526,10082.839721679688,-0.24309628176699682
0.02,0.015,0.12,5,False,0.8283972167968751,-3.3849064676633978,41.66666666666667,12,0.2313412969099526,10082.839721679688,-0.24309628176699682
0.02,0.015,0.12,7,False,0.8283972167968751,-3.3849064676633978,41.66666666666667,12,0.2313412969099526,10082.839721679688,-0.24309628176699682
0.02,0.025,0.12,10,False,0.8198027038574218,-3.384204834326512,50.0,10,0.2067088274629972,10081.980270385742,-0.4973138558391179
0.02,0.025,0.12,5,False,0.8198027038574218,-3.384204834326512,50.0,10,0.2067088274629972,10081.980270385742,-0.4973138558391179
0.02,0.025,0.12,7,False,0.8198027038574218,-3.384204834326512,50.0,10,0.2067088274629972,10081.980270385742,-0.4973138558391179
0.02,0.02,0.12,7,False,0.789631805419922,-3.384204834326512,45.45454545454545,11,0.20098740383749547,10078.963180541992,-0.5846989905316353
0.02,0.02,0.12,5,False,0.789631805419922,-3.384204834326512,45.45454545454545,11,0.20098740383749547,10078.963180541992,-0.5846989905316353
0.02,0.02,0.12,10,False,0.789631805419922,-3.384204834326512,45.45454545454545,11,0.20098740383749547,10078.963180541992,-0.5846989905316353
0.02,0.025,0.12,10,True,0.47733352661132816,-3.396414916025017,54.54545454545454,11,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.025,0.12,5,True,0.47733352661132816,-3.396414916025017,54.54545454545454,11,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.025,0.1,5,True,0.47733352661132816,-3.396414916025017,42.857142857142854,14,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.025,0.1,7,True,0.47733352661132816,-3.396414916025017,42.857142857142854,14,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.025,0.12,7,True,0.47733352661132816,-3.396414916025017,54.54545454545454,11,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.025,0.1,10,True,0.47733352661132816,-3.396414916025017,42.857142857142854,14,0.15141369716535844,10047.733352661133,-1.4049444177601047
0.02,0.02,0.08,7,False,0.4554899597167969,-3.384204834326512,45.45454545454545,11,0.13870879263796884,10045.54899597168,-1.5416269482300267
0.02,0.02,0.08,10,False,0.4554899597167969,-3.384204834326512,45.45454545454545,11,0.13870879263796884,10045.54899597168,-1.5416269482300267
0.02,0.02,0.08,5,False,0.4554899597167969,-3.384204834326512,45.45454545454545,11,0.13870879263796884,10045.54899597168,-1.5416269482300267
0.02,0.025,0.08,7,True,0.2515354919433594,-3.396414916025017,42.857142857142854,14,0.10305472013549015,10025.153549194336,-2.1143322227267562
0.02,0.025,0.08,10,True,0.2515354919433594,-3.396414916025017,42.857142857142854,14,0.10305472013549015,10025.153549194336,-2.1143322227267562
